-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.031
-183.800, 80.200, 0.000,  0.074
-183.800, 80.200, 0.000,  0.117
-183.800, 80.200, -0.008,  0.160
-183.800, 80.200, 0.002,  0.203
-183.800, 80.200, -0.001,  0.246
-183.800, 80.200, 0.014,  0.289
-183.800, 80.199, 0.022,  0.332
-183.800, 80.193, 0.174,  0.375
-183.797, 80.180, 0.347,  0.418
-183.793, 80.160, 0.524,  0.461
-183.784, 80.129, 0.752,  0.504
-183.771, 80.092, 0.872,  0.547
-183.753, 80.050, 1.007,  0.590
-183.730, 80.003, 1.121,  0.633
-183.703, 79.951, 1.301,  0.676
-183.673, 79.890, 1.491,  0.719
-183.643, 79.822, 1.669,  0.762
-183.612, 79.748, 1.822,  0.805
-183.581, 79.669, 1.936,  0.848
-183.549, 79.588, 1.979,  0.891
-183.519, 79.506, 1.981,  0.934
-183.488, 79.426, 1.956,  0.977
-183.458, 79.348, 1.912,  1.020
-183.429, 79.272, 1.856,  1.063
-183.400, 79.199, 1.793,  1.106
-183.372, 79.128, 1.725,  1.149
-183.344, 79.062, 1.625,  1.192
-183.318, 78.999, 1.553,  1.235
-183.291, 78.938, 1.498,  1.278
-183.265, 78.879, 1.470,  1.321
-183.239, 78.821, 1.463,  1.364
-183.212, 78.761, 1.489,  1.407
-183.184, 78.700, 1.545,  1.450
-183.156, 78.635, 1.634,  1.493
-183.127, 78.565, 1.744,  1.536
-183.096, 78.491, 1.849,  1.579
-183.066, 78.413, 1.928,  1.622
-183.036, 78.333, 1.945,  1.665
-183.006, 78.254, 1.930,  1.708
-182.978, 78.177, 1.893,  1.751
-182.950, 78.102, 1.843,  1.794
-182.924, 78.029, 1.761,  1.837
-182.898, 77.960, 1.697,  1.880
-182.873, 77.893, 1.649,  1.923
-182.849, 77.826, 1.623,  1.966
-182.824, 77.761, 1.618,  2.009
-182.800, 77.694, 1.641,  2.052
-182.775, 77.625, 1.694,  2.095
-182.750, 77.553, 1.775,  2.138
-182.724, 77.476, 1.872,  2.181
-182.698, 77.396, 1.961,  2.224
-182.671, 77.312, 2.027,  2.267
-182.646, 77.227, 2.035,  2.310
-182.621, 77.143, 2.013,  2.353
-182.596, 77.060, 1.971,  2.396
-182.574, 76.980, 1.897,  2.439
-182.552, 76.904, 1.837,  2.482
-182.530, 76.829, 1.792,  2.525
-182.509, 76.755, 1.767,  2.568
-182.489, 76.681, 1.763,  2.611
-182.468, 76.606, 1.788,  2.654
-182.448, 76.529, 1.841,  2.697
-182.427, 76.449, 1.918,  2.740
-182.406, 76.365, 1.999,  2.783
-182.385, 76.278, 2.074,  2.826
-182.363, 76.188, 2.130,  2.869
-182.342, 76.097, 2.133,  2.912
-182.322, 76.007, 2.106,  2.955
-182.303, 75.919, 2.059,  2.998
-182.285, 75.835, 1.981,  3.041
-182.267, 75.753, 1.915,  3.084
-182.251, 75.673, 1.868,  3.127
-182.234, 75.595, 1.842,  3.170
-182.218, 75.516, 1.837,  3.213
-182.203, 75.437, 1.862,  3.256
-182.187, 75.356, 1.917,  3.299
-182.171, 75.271, 1.994,  3.342
-182.155, 75.183, 2.074,  3.385
-182.138, 75.091, 2.151,  3.428
-182.122, 74.996, 2.222,  3.471
-182.106, 74.898, 2.273,  3.514
-182.090, 74.800, 2.272,  3.557
-182.075, 74.704, 2.241,  3.600
-182.060, 74.609, 2.190,  3.643
-182.046, 74.518, 2.107,  3.686
-182.033, 74.430, 2.036,  3.729
-182.021, 74.345, 1.984,  3.772
-182.009, 74.260, 1.955,  3.815
-181.997, 74.176, 1.952,  3.858
-181.986, 74.091, 1.976,  3.901
-181.974, 74.004, 2.030,  3.944
-181.962, 73.914, 2.102,  3.987
-181.951, 73.820, 2.179,  4.030
-181.939, 73.723, 2.255,  4.073
-181.927, 73.623, 2.327,  4.116
-181.916, 73.520, 2.381,  4.159
-181.904, 73.417, 2.381,  4.202
-181.893, 73.315, 2.350,  4.245
-181.883, 73.216, 2.284,  4.288
-181.873, 73.119, 2.221,  4.331
-181.864, 73.025, 2.171,  4.374
-181.855, 72.932, 2.142,  4.417
-181.846, 72.840, 2.139,  4.460
-181.838, 72.747, 2.163,  4.503
-181.829, 72.651, 2.210,  4.546
-181.821, 72.553, 2.272,  4.589
-181.812, 72.452, 2.340,  4.632
